time,latitude,longitude,speed,course,team
2019-08-28 02:02:57,29.86724668,121.53825178,1.805,120.01,HUST2
2019-08-28 02:02:58,29.86724555,121.53825893,2.924,87.82,HUST2
2019-08-28 02:02:59,29.86724456,121.53826713,3.252,101.42,HUST2
2019-08-28 02:03:00,29.86724071,121.5382744,3.485,139.77,HUST2
2019-08-28 02:03:01,29.86723551,121.53828155,3.405,130.07,HUST2
2019-08-28 02:03:02,29.86723048,121.53828931,3.4789999999999996,122.53,HUST2
2019-08-28 02:03:03,29.86722563,121.53829745,3.42,123.35,HUST2
2019-08-28 02:03:04,29.86722045,121.53830628,3.998,124.96,HUST2
2019-08-28 02:03:05,29.867215,121.53831543,3.904,124.62,HUST2
2019-08-28 02:03:06,29.86720896,121.53832381,3.813,135.27,HUST2
2019-08-28 02:03:07,29.86720246,121.53833166,3.7539999999999996,133.7,HUST2
2019-08-28 02:03:08,29.86719623,121.53833991,3.907,128.43,HUST2
2019-08-28 02:03:09,29.86719001,121.53834811,3.7439999999999998,131.26,HUST2
2019-08-28 02:03:10,29.86718501,121.53835666,3.5180000000000002,117.83,HUST2
2019-08-28 02:03:11,29.86718398,121.53836641,3.7939999999999996,78.49,HUST2
2019-08-28 02:03:12,29.867184,121.53837543,2.824,96.05,HUST2
2019-08-28 02:03:13,29.86718386,121.53838386,2.92,93.34,HUST2
2019-08-28 02:03:14,29.86718378,121.53839171,2.679,91.89,HUST2
2019-08-28 02:03:15,29.86718375,121.53839933,2.642,92.1,HUST2
2019-08-28 02:03:16,29.86718366,121.53840671,2.548,91.91,HUST2
2019-08-28 02:03:17,29.86718366,121.53841368,2.4019999999999997,90.83,HUST2
2019-08-28 02:03:18,29.86718366,121.5384205,2.387,91.9,HUST2
2019-08-28 02:03:19,29.8671835,121.53842688,2.148,94.08,HUST2
2019-08-28 02:03:20,29.86718323,121.53843281,2.013,92.93,HUST2
2019-08-28 02:03:21,29.86718266,121.53843835,1.885,99.91,HUST2
2019-08-28 02:03:22,29.86718198,121.53844368,1.861,99.47,HUST2
2019-08-28 02:03:23,29.86718131,121.53844886,1.82,99.1,HUST2
2019-08-28 02:03:24,29.86718068,121.53845396,1.8869999999999998,99.16,HUST2
2019-08-28 02:03:25,29.86717996,121.53845911,1.84,100.65,HUST2
2019-08-28 02:03:26,29.86717918,121.5384644,1.942,99.31,HUST2
2019-08-28 02:03:27,29.86717851,121.53846946,1.79,99.21,HUST2
2019-08-28 02:03:28,29.86717783,121.53847448,1.8219999999999998,99.89,HUST2
2019-08-28 02:03:29,29.86717733,121.5384794,1.6869999999999998,96.66,HUST2
2019-08-28 02:03:30,29.86717693,121.53848418,1.72,96.71,HUST2
2019-08-28 02:03:31,29.86717651,121.53848851,1.5390000000000001,98.21,HUST2
2019-08-28 02:03:32,29.86717625,121.5384928,1.546,98.05,HUST2
2019-08-28 02:03:33,29.86717593,121.5384971,1.496,96.72,HUST2
2019-08-28 02:03:34,29.86717555,121.53850138,1.54,98.08,HUST2
2019-08-28 02:03:35,29.86717506,121.5385056,1.463,101.67,HUST2
2019-08-28 02:03:36,29.86717456,121.53850965,1.4509999999999998,99.42,HUST2
2019-08-28 02:03:37,29.86717411,121.53851385,1.54,98.29,HUST2
2019-08-28 02:03:38,29.86717338,121.53851775,1.392,109.14,HUST2
2019-08-28 02:03:39,29.8671725,121.53852183,1.607,105.29,HUST2
2019-08-28 02:03:40,29.86717163,121.53852583,1.4509999999999998,108.22,HUST2
2019-08-28 02:03:41,29.86717058,121.53852985,1.537,108.77,HUST2
2019-08-28 02:03:42,29.86716966,121.53853371,1.442,106.14,HUST2
2019-08-28 02:03:43,29.86716915,121.53853718,1.52,107.13,HUST2
2019-08-28 02:03:44,29.86716891,121.53854076,1.5419999999999998,103.41,HUST2
2019-08-28 02:03:45,29.86716835,121.53854456,1.609,102.53,HUST2
2019-08-28 02:03:46,29.86716798,121.53854843,1.6159999999999999,105.5,HUST2
2019-08-28 02:03:47,29.86716791,121.53855218,1.6640000000000001,99.19,HUST2
2019-08-28 02:03:48,29.86716735,121.53855628,1.672,101.26,HUST2
2019-08-28 02:03:49,29.86716698,121.53856048,1.646,96.88,HUST2
2019-08-28 02:03:50,29.86716653,121.53856481,1.663,98.05,HUST2
2019-08-28 02:03:51,29.86716623,121.53856925,1.692,97.07,HUST2
2019-08-28 02:03:52,29.86716581,121.5385735,1.579,100.9,HUST2
2019-08-28 02:03:53,29.86716546,121.53857766,1.6369999999999998,97.75,HUST2
2019-08-28 02:03:54,29.86716508,121.53858168,1.501,96.34,HUST2
2019-08-28 02:03:55,29.86716471,121.5385857,1.476,96.97,HUST2
2019-08-28 02:03:56,29.86716445,121.53858955,1.4509999999999998,98.25,HUST2
2019-08-28 02:03:57,29.86716406,121.53859318,1.266,97.75,HUST2
